Team,Season,Venue,Wins,Loss,Win%,FT Made,FT Att,FT%,Win Rnk,Loss Rnk,Win% Rnk,FT Made Rnk,FT ATT Rnk,FT% Rnk,Total Points
Portland Trail Blazers,2015-16,Road,16,25,0.39,719,954,0.754,16,16,16,9,9,19,4192
Sacramento Kings,2015-16,Road,15,26,0.366,718,995,0.722,20,20,20,11,8,25,4330
San Antonio Spurs,2015-16,Road,27,14,0.659,660,822,0.803,2,2,2,22,29,1,4179
Toronto Raptors,2015-16,Road,24,17,0.585,815,1040,0.784,3,3,3,4,5,8,4119
Utah Jazz,2015-16,Road,16,25,0.39,659,872,0.756,16,16,16,24,24,18,3969
Washington Wizards,2015-16,Road,19,22,0.463,635,881,0.721,10,10,10,29,21,26,4187
Atlanta Hawks,2016-17,Home,23,18,0.561,780,1074,0.726,16,16,16,11,5,28,4343
Boston Celtics,2016-17,Home,30,11,0.732,768,946,0.812,4,4,4,13,18,2,4490
Brooklyn Nets,2016-17,Home,13,28,0.317,777,989,0.786,30,30,30,12,11,13,4280
Charlotte Hornets,2016-17,Home,22,19,0.537,833,1046,0.796,19,19,19,4,7,8,4370
Chicago Bulls,2016-17,Home,25,16,0.61,782,967,0.809,12,12,12,10,16,4,4253
Cleveland Cavaliers,2016-17,Home,31,10,0.756,713,976,0.731,2,2,2,22,15,27,4622
Dallas Mavericks,2016-17,Home,21,20,0.512,668,813,0.822,21,21,21,27,29,1,4074
Denver Nuggets,2016-17,Home,22,19,0.537,765,1001,0.764,19,19,19,15,9,19,4669
Detroit Pistons,2016-17,Home,24,17,0.585,570,809,0.705,14,14,14,30,30,29,4222
Golden State Warriors,2016-17,Home,36,5,0.878,687,890,0.772,1,1,1,25,26,17,4872
Houston Rockets,2016-17,Home,30,11,0.732,861,1140,0.755,4,4,4,2,1,21,4805
Indiana Pacers,2016-17,Home,29,12,0.707,717,885,0.81,7,7,7,20,27,3,4383
LA Clippers,2016-17,Home,29,12,0.707,816,1085,0.752,7,7,7,5,2,23,4495
Los Angeles Lakers,2016-17,Home,17,24,0.415,709,942,0.753,25,25,25,24,20,22,4410
Memphis Grizzlies,2016-17,Home,24,17,0.585,784,997,0.786,14,14,14,7,10,12,4069
Miami Heat,2016-17,Home,23,18,0.561,650,941,0.691,16,16,16,28,21,30,4365
Milwaukee Bucks,2016-17,Home,23,18,0.561,767,978,0.784,16,16,16,14,13,14,4348
Minnesota Timberwolves,2016-17,Home,20,21,0.488,813,1025,0.793,23,23,23,6,8,9,4370
New Orleans Pelicans,2016-17,Home,21,20,0.512,727,946,0.768,21,21,21,16,18,18,4413
New York Knicks,2016-17,Home,19,22,0.463,642,825,0.778,24,24,24,29,28,15,4300
Oklahoma City Thunder,2016-17,Home,28,13,0.683,784,1059,0.74,10,10,10,7,6,26,4491
Orlando Magic,2016-17,Home,16,25,0.39,682,918,0.743,28,28,28,26,22,25,4109
Philadelphia 76ers,2016-17,Home,17,24,0.415,713,917,0.778,25,25,25,22,23,16,4198
Phoenix Suns,2016-17,Home,15,26,0.366,856,1084,0.79,29,29,29,3,3,10,4497
Portland Trail Blazers,2016-17,Home,25,16,0.61,721,949,0.76,12,12,12,19,17,20,4507
Sacramento Kings,2016-17,Home,17,24,0.415,784,983,0.798,25,25,25,7,12,7,4307
San Antonio Spurs,2016-17,Home,31,10,0.756,716,907,0.789,2,2,2,21,24,11,4331
Toronto Raptors,2016-17,Home,28,13,0.683,871,1082,0.805,10,10,10,1,4,5,4547
Utah Jazz,2016-17,Home,29,12,0.707,726,977,0.743,7,7,7,17,14,24,4146
Washington Wizards,2016-17,Home,30,11,0.732,724,904,0.801,4,4,4,18,25,6,4527
Atlanta Hawks,2016-17,Road,20,21,0.488,704,965,0.73,8,8,8,18,8,28,4116
Boston Celtics,2016-17,Road,23,18,0.561,768,957,0.803,4,4,4,10,11,5,4367
Brooklyn Nets,2016-17,Road,7,34,0.171,815,1031,0.79,30,30,30,2,5,9,4393
Charlotte Hornets,2016-17,Road,14,27,0.341,758,907,0.836,19,19,19,11,19,1,4231
Chicago Bulls,2016-17,Road,16,25,0.39,692,881,0.785,16,16,16,21,24,11,4182
Cleveland Cavaliers,2016-17,Road,20,21,0.488,718,937,0.766,8,8,8,17,13,17,4426
Dallas Mavericks,2016-17,Road,12,29,0.293,547,703,0.778,24,24,24,30,30,14,3955
Denver Nuggets,2016-17,Road,18,23,0.439,772,985,0.784,14,14,14,7,7,12,4492
Detroit Pistons,2016-17,Road,13,28,0.317,570,777,0.734,20,20,20,29,29,27,4087
Golden State Warriors,2016-17,Road,31,10,0.756,770,960,0.802,1,1,1,8,10,6,4631
