,Team,Season,Venue,Wins,Loss,Win%,FT Made,FT Att,FT%,Win Rnk,Loss Rnk,Win% Rnk,FT Made Rnk,FT ATT Rnk,FT% Rnk
403,Los Angeles Lakers,2018-19,Road,14,26,0.35,641,910,0.704,17,19,19,24,13,29
404,Memphis Grizzlies,2018-19,Road,11,28,0.282,673,870,0.774,24,24,24,18,20,14
405,Miami Heat,2018-19,Road,20,18,0.526,550,789,0.697,7,4,7,30,26,30
406,Milwaukee Bucks,2018-19,Road,26,14,0.65,704,911,0.773,1,2,2,12,12,16
407,Minnesota Timberwolves,2018-19,Road,11,29,0.275,752,955,0.787,24,25,25,3,6,10
408,New Orleans Pelicans,2018-19,Road,13,26,0.333,700,928,0.754,20,19,20,13,8,19
409,New York Knicks,2018-19,Road,7,32,0.179,720,940,0.766,28,28,28,7,7,17
410,Oklahoma City Thunder,2018-19,Road,20,19,0.513,690,968,0.713,7,8,8,14,5,28
411,Orlando Magic,2018-19,Road,15,24,0.385,551,713,0.773,15,15,15,29,30,15
412,Philadelphia 76ers,2018-19,Road,19,20,0.487,797,1056,0.755,11,11,11,2,2,18
413,Phoenix Suns,2018-19,Road,7,32,0.179,722,919,0.786,28,28,28,6,11,12
414,Portland Trail Blazers,2018-19,Road,20,19,0.513,736,894,0.823,7,8,8,5,15,1
415,Sacramento Kings,2018-19,Road,15,24,0.385,640,883,0.725,15,15,15,25,17,27
416,San Antonio Spurs,2018-19,Road,14,25,0.359,661,808,0.818,17,17,17,20,25,2
417,Toronto Raptors,2018-19,Road,25,14,0.641,711,878,0.81,2,2,3,10,18,3
418,Utah Jazz,2018-19,Road,21,18,0.538,712,972,0.733,6,4,6,9,4,26
419,Washington Wizards,2018-19,Road,10,30,0.25,716,924,0.775,26,26,26,8,9,13
